"date","elapsed_time","blank","Coral_1","Coral_2","Coral_3","Coral_4","Coral_5"
2022-07-23,0,194.3843,207.4655,234.8157,217.6095,238.4354,235.2383
2022-07-23,0.5,194.2543,208.6795,234.4622,216.1825,236.7849,234.0399
2022-07-23,1,194.3088,209.3744,234.4584,215.5817,236.3182,233.7103
2022-07-23,1.5,194.7732,210.1004,234.5817,215.5989,236.1427,233.8751
2022-07-23,2,194.6889,210.3453,234.9691,215.7777,236.3795,234.0389
2022-07-23,2.5,194.8877,210.6842,235.3628,215.9762,236.5799,234.1819
2022-07-23,3,195.0803,210.799,235.3644,215.9801,236.7185,234.3217
2022-07-23,3.5,194.7055,210.9425,235.7525,216.2155,237.0543,234.5495
2022-07-23,4,194.6649,211.0929,235.773,216.5083,237.3376,234.8345
2022-07-23,4.5,194.8017,211.0811,236.2523,216.7207,237.6209,235.144
2022-07-23,5,194.6744,211.1895,236.4611,216.7821,237.9041,235.1038
2022-07-23,5.5,195.1277,211.2337,236.6507,216.9981,238.1874,235.3572
2022-07-23,6,194.6138,211.5366,236.9102,217.3415,238.4707,235.7283
2022-07-23,6.5,194.5623,211.7919,237.2526,217.6731,238.754,236.0257
2022-07-23,7,194.7255,211.8519,237.4689,218.0585,239.0372,236.3166
2022-07-23,7.5,194.8328,212.0406,237.9254,218.4139,239.3205,236.6411
2022-07-23,8,194.8115,212.3206,238.2423,218.8535,239.6038,236.9626
2022-07-23,8.5,194.5816,212.5787,238.7352,219.2649,239.8871,237.2928
2022-07-23,9,194.5749,212.7949,239.1625,219.5445,240.1703,237.5927
2022-07-23,9.5,194.544,213.1229,239.555,220.129,240.4536,238.1853
2022-07-23,10,194.9797,213.4146,240.0996,220.5159,240.7369,238.3542
2022-07-23,10.5,194.7279,213.604,240.5963,220.9706,241.0202,238.6391
2022-07-23,11,194.4581,213.8891,240.8783,221.4168,241.3034,239.2336
2022-07-23,11.5,194.8044,213.9778,241.2972,221.9114,241.5867,239.9496
2022-07-23,12,194.6385,214.4476,241.8247,222.3383,241.87,240.1106
2022-07-23,12.5,194.5095,214.5493,242.3544,222.76,242.1533,240.54
2022-07-23,13,194.8037,214.8602,242.8427,223.2895,242.4365,241.0076
2022-07-23,13.5,194.4784,215.0481,243.3662,223.8086,242.7198,241.4529
2022-07-23,14,194.5427,215.2651,243.6999,224.3241,243.145,241.7456
2022-07-23,14.5,194.3426,215.5187,244.2006,224.8072,243.6144,242.1869
2022-07-23,15,194.455,215.6839,244.6192,225.186,243.661,242.5505
2022-07-23,15.5,194.7434,215.999,245.1819,225.5366,244.0748,242.8604
2022-07-23,16,194.7106,216.2284,245.7573,226.138,244.5757,243.3417
2022-07-23,16.5,194.6761,216.5493,245.8392,226.6372,244.9313,243.817
2022-07-23,17,194.6426,216.7736,246.4685,227.1086,245.1158,244.3609
2022-07-23,17.5,194.6206,217.0247,246.8027,227.5871,245.6158,244.6087
2022-07-23,18,194.2607,217.3728,247.419,228.125,245.8698,245.2154
2022-07-23,18.5,194.262,217.6682,247.8425,228.4161,246.2398,245.2554
2022-07-23,19,194.2776,217.81,248.1871,229.003,246.6412,245.7972
2022-07-23,19.5,194.3822,217.9195,248.4528,229.4434,247.0295,246.3031
2022-07-23,20,194.3267,218.1746,248.9645,229.7278,247.5536,246.8711
2022-07-23,20.5,194.1818,218.2682,249.4659,230.198,247.7253,247.0842
2022-07-23,21,194.3247,218.681,250.0155,230.5425,248.1143,247.5396
2022-07-23,21.5,194.4147,218.9286,250.4506,231.1025,248.4202,247.7911
2022-07-23,22,194.4151,219.2478,250.9361,231.6337,248.6202,248.2227
2022-07-23,22.5,194.4276,219.3504,251.2489,231.9947,249.0574,248.5367
2022-07-23,23,194.454,219.6821,251.6105,232.4602,249.4798,248.9549
2022-07-23,23.5,194.6189,219.9299,252.1081,232.882,249.9896,249.3166
2022-07-23,24,194.5495,219.9258,252.2781,233.2565,250.1612,249.5282
2022-07-23,24.5,194.3531,219.9993,252.649,233.5239,250.1402,249.5407
2022-07-23,25,194.7695,219.9723,253.1053,233.7018,250.4206,249.7959
2022-07-23,25.5,194.566,220.2369,253.3985,234.0394,250.8651,250.1096
2022-07-23,26,194.6263,220.5344,253.7467,234.4545,251.0189,250.6489
2022-07-23,26.5,194.7492,220.7761,254.0962,234.8868,251.3081,250.9032
2022-07-23,27,194.5092,220.8907,254.5961,235.3542,251.6086,251.3695
2022-07-23,27.5,194.5952,221.2082,254.9244,235.7508,251.8897,251.793
2022-07-23,28,194.8562,221.3354,255.1124,236.1955,252.3654,252.3076
